,code,img_text
아무도 돌아봐주는 이 없어서
내가 뒤돌아보았지.
우두커니 혼자 서 있는 내 그림자가 가여워
손을 내밀어 잡는 밤이 길다.
뒤를 돌아보다 마주친 건
까만 그림자
아무도 돌아봐주는 이 없어서
내가 뒤돌아보았지.
우두커니 혼자 서 있는 내 그림자가 가여워
손을 내밀어 잡는 밤이 길다.*Karol싶다.
Had
그렇게 힘겹게 버티는
이
아
아서
Broto
나는 사
અપૂર્વ વન નંબ
가
-
내 안내로 가득할
나는 오늘도무사라는서른을 맞이하는 우리를 위하여버티는 하루들이 싫다.
그렇게 힘겹게 버티는 하루들이
쌓이고 쌓여서 세월이 될텐데
나는 하루를 사는 사람이 아닌
버틴 사람이 되어버리는 것 같아서
""내 인생은 인내로 가득할 것 같아서
나는 오늘 하루도 무사히 버티라는
그 말이 싫다.뒤를 돌아보다 마주친 건
까만 그림자
아무도 돌아봐주는 이 없어서
내가 뒤돌아보았지.
우두커니 혼자 서 있는 내 그림자가 가여워
손을 내밀어 잡는 밤이 길다.* 요구르트 세 줄을 사 먹을 수 있는 어른
인생은 50세부터 /
요구르트 세 줄을 사 먹을 수 있는 어른
인생은 50세부터 ★◆ 요구르트 세 줄을 사 먹을 수 있는 어른인생은 50세부터 >
인생은 50세부터 /* 요구르트 세 줄을 사 먹을 수 있는 어른◆ 요구르트 세 줄을 사 먹을 수 있는 어른
감성 싸이코 수뒤를 돌아보다 마주친건
까만 그림자
아무도 돌아봐주는 이 없어서
내가 뒤돌아보았지.
우두커니 혼자 서 있는 내 그림자가 가여워
손을 내밀어 잡는 밤이 길다.PECEOFMISON*
인생은 50세부터
4
감성 싸이코PECE OF MISONX
인생은 50세부터MINY
4 미완의 우리 감성 싸이코 set
'미완의 우리' 스티커 2종 각 4장
'감성' 엽서 5종 각 1장
'싸이코' 폰스트랩 2종 각 1개
- 미완의 우리 스티커
'미완의 우리' 스티커 2종 각 2장
4 감성 엽서
‘감성’엽서 5종 중 택 3장
- 싸이코 스트랩
'싸이코' 폰스트랩 2종 중 택 1개
4 감성 엽서 set
'감성' 엽서 5종 각 1장
21,000원
3,000원
5,000원
4,000원
8,000원을
p
SLOMMER
KAT
CD
--
JIZL
사람이다.
익숙한 어른이 되어버릴 무서웠다.
감성 싸이15
다가 다가
웃다가 다가
가
그러다가
지나가다가
겠다
I
이완의 무리
힙합이다 파도치듯 밀려오는 그것이
쓰나미인지 한순간의 바다였는지
그런 사람이었는지
실
exing
000
이 안에는 내가 없다
24
이유 없는 물음을 담고
목적 없이 걸었다.
MIN
인생은 50세부터
그러다보면
이유있는 길에 나올까 다시
Goe
여
무너질 및 양면성을 지웠다.
마음이 편했으면
조금 더 늘었으면
그렇게 긴 밤을
무사히 보낼 수 있다면일렁이다 파도치듯 밀려오는 그것이
쓰나미인지 한순간의
그런 사람이었는지
이 안에는 내가 없다
이유 없는 물음을 담고
목적없이 걸었다
그러다보면
이유 있는 길이 나온 서
MIN
인생은 50세부터플
DOC
무너진 걸 알면서도 더웠다.
마음이 편했으면
조금 더 놓았으면
그렇게 긴 발음
무사히 보낼 수 있다면
습***
익숙한 어른이 되어버릴까 무서웠다.
감성 싸이11
중이다
G23
다가가
웃다가 울다가
기다가
그러다가
자다가 나아가다가
요구르트 세 춤을 살 수 있는 어른
다가
미완의 우리
SHOPESo may moon bring gentle sleep
생각을 멈추어야 할
매
마음이 편했으면
조금 더 놓였으면
그렇게 긴 밤을
무사히 보낼 수 있다면
1
8
10일렁이다 파도치듯 밀려오는 그것이
쓰나미인지 한순간의 바다였는지
그런 사랑이었는지
GUN
디자인팅
000
이 안에는 내가 없다
감성싸이코
이유 없는 물음을 달고
목적 없이 걸었다.
그러다보면
이유 있는 길이 나올까 해서.
인생은 50세부터 4
2019147
젖어버릴 걸 알면서도 띄웠다.
무너질 걸 알면서도 띄웠다.
마음이 편했으면
조금 더 놓였으면
그렇게 긴 밤을
무사히 보낼 수 있다면"
2,102045,"어린시절 한번쯤
타보고 싶었던 슈퍼보드와
치키치키차카차카초코초코촉
노래의 주인공 손오공!
왜 그러셩~
8
독보적인 캐릭터로
숱한 개인기를 불러왔던 저팔계!
S
늘 엉뚱한 소리로 답답하게 하지만
미워할 수 없는 우리의 최애캐 사오정!S
손오공, 저팔계, 사오정이
백팔요괴를 함께 무찌르며 여행하는
어린 시절 추억의 애니메이션
다들 기억하시죠?|
피규어 제작 과정
3D 스케치 드로잉
S
캐릭터 3D 이미지
피규어 3D 모델링
S
피규어 제작 완성손오공 3D
드로잉 초안
토저팔계 3D
드로잉 초안
L
CO사오정 3D
드로잉 초안
W
He
국과캐릭터
3D 이미지
S
S피규어
3D 모델링 작업
00000-
c\\
ID
606
Get3D 캐릭터가 피규어로 개발되기 위해서
슈퍼보드를 향한 미친 열정과 노력으로 ""
이렇게 멋진 3D 액션피규어로
재탄생되었습니다!Mr.SON
S
SA O JEONGPOINT 2
날아라
슈퍼보드
구체 관절 피규어S
Mr.SON
HOFER
퍼보드
FLY SUPERBOARD
와디즈에서
최초공개
30년만에 액션피규어로 재탄생!
S JEC
Co
10
SA O JEONG
손오공/저팔계/사오정을
와디즈에서 만나보세요!날아라
POINT 3 슈퍼보드
다양하고 디테일한
캐릭터별 소품 !손오공 하면
빼놓을 수 없는
쌍절곤과 슈퍼보드!
S
쌍절곤은 손에,
그리고 내 꼬리에도
끼울 수 있어!S
어서와,
헬멧을 벗은 내 모습은
처음이지? 벗은 모습도
완전 멋지지 않아?S
S
>
a 266
목표금액
1988만원?!저팔계의
큼지막한 바주카포!
8
나 팔계처럼
내 바주카포도
멋지지 않으셩?
이번 나의 신상템
백팩이셔~
손형의 슈퍼보드보다
더 갖고 싶지 않으셔?8사오정의
두들기면 터지는
뽐망치!
뭐라구?
내 뿅망치가 궁금하다구?
하나! 둘!
아홉! 열!
BOOMM
lotΤ
ΠΟΙPOINT 4
날아라
슈퍼보드
고급스러운 패키지OY
S
S
D
JEO PAL GYE
be.
Mr.SON
FOO
SA O JEONGPOINT 5
날아라
슈퍼보드
문화체육관광부 선정
우수 캐릭터상품으로 제작BE
S
D미스터손
치키치키>
차카차카>
Detail
초코초코촉(CM)
12
11
10
∞ M
Mr. SON
S
9 cm11S
S
Mr.SON8p
S
B
S
SDetail
저팔계
나는 나는 저팔계~♪
왜 나를 싫어하나~♪(CM)
12
10
0 0 M
JEO PAL GYE
8
12 cm
9""6
뜨거운 관심 속에 애니메이션 시청률
42.8% 기록8
JEO PAL GYE8사오정
하나 둘 셋 열!
Detail
나바아아아암~~!!(CM)
- NW F C = N
12
10
SA O JEONG
8.5 cmT
101
S
SA O JEONG슈퍼얼리버드 EVENT
* 사이즈: 약 60*15cm
$
와디즈 특별 한정
슈퍼얼리버드 피규어 3종 세트 를
펀딩하신 서포터분들에게 한정수량으로
슈퍼보드 데크판을 선물로 드립니다.FD
8
200
EN
TOT
MANOS리워드 리스트
슈퍼얼리버드
1 피규어 3종 세트
Mr.SON
68,000원
20% 혜택
54,400원
슈퍼얼리버드
3 저팔계
58,000원
20% 혜택
46,400원
179,000원 30% 혜택 125,300원
슈퍼얼리버드
2 손오공
슈퍼얼리버드
4 사오점
JEC
53,000원
20% 혜택
42,400원
101
SA O JEONG
101
Mr.SON
JEO PAL GYE
FLY SUPERBOARD
SA O JEONG
Y SUPERBOARD
BOARD27
TETE
to a
38/2
SEFTEEN
(61)
EX
22
** *** **
----
4
LOVELSESR얼리버드
5 피규어 3종 세트
Mr.SON
179,000원
얼리버드
6 손오공
68,000원
10% 혜택
61,200원
얼리버드
7 저팔계
58,000원
10% 혜택
52,200원
얼리버드
8 사오점
53,000원
10% 혜택
47,700원
JEC
SA O JEONG
10% 혜택 161,100원
Mr.SON
JEO PAL GYE
FLY SUPERBOARD
SA O JEONG
Y SUPERBOARD
ARDWe create what you imagineGO
FICEE
COCLE
TONY STAB
PAR
Mr.So펀딩기간
- 3월 8일
FLY SUPERBOAD!
프로젝트 일정
결제일점
3월 9일
~ 3월 12일
11
배송준비
3월 13일
~ 3월 20일
리워드 배송
3월 21일부터
순차배송미스터스
제1권수하입만
미스터 손2부
날아라 수퍼보드
NE날아라
POINT 1 슈퍼보드
30년 만에
액션피규어로 재탄생!8
8
CLA
S"
3,103959,"88
08
4
88
안녕!
나랑 같이
우주여행 가지 않을래?
88아띠
아몽
아토
뚜
아로O
우리랑 우주 여행 가지 않을래?
CoAto
on 22
555
Be with you
Amony
TO
FRIENDS
Aro
Ato
Among
FRIENDS
Atti
AFRIENC
OTO
Be with you
ATO
FRIENDS
PRIENDSជាទីផង
{});안전한 보호캡
FRIENDS
USB 3.0
TO
FRIENDS
FRIENDS
Pro
FRIENDS
가벼운
라바 PVC소재
Pito
FRIENDStab
caps lock
●
esc
Fn
1
GDFRIENDS
TO
FRIENDS
то
MA
DIET! DIET!
day
0
☐
00000000
=
Ahmad Irrande falk
MEORAN SCHOENEMAN KÄND TILL 4%
BEBOBAN SCHOENEMAN KÄNN
"" "" "" ""
INRED UTE & INN
Code
ATO FRIENDS
FRIENDS
TOFR SA
12
89
15 16
23
2 Feb
SU MO TU WE TH FR SA
1 2 3 4 5 6
7 8 9 10 11 12 13
14 15 16 17 18 19 20
21 22 23 24 25 26 27
28
20.
3
SU
FRIENDS
2021
FRIENDS
2021
10 Oct
SU MO TU WE TH FR
1
6 7 8
345
10 11 12 13 14 15
SA
2
9
16
18 19 20 21 22 23D
아띠
아몽
아토
뚜
아로DSU
Dongseo University
동서대학교
211
FRIENDS
2021
Happy New Year
AM ANIMOTION
www
OO
O
SUCKER
ATOFRIENDS OFFICIAL
Licensing inquiry: info@dsu-animotion.com
Tel: (+82) 51, 320, 1513 Fax: +82] 51, 320, 1514
203 Global Village, 47 Jurye-ro, Sasang-gu, Busan, Korea 47011TO
I like you,
just you are
4
April
SU MO TU WE TH FR
4182
11
SA
2 3
5 6
10
12 13 14 15 16 17
7478
1852&
9
18 19 20 21 22 23 24
25 26 27 28 29 30OOOOOOOO
지금은
mmmmmm_m
• Atti
외출중 입니다.TO
FRIENDS
하단 마감
FRIENDS
1
여는 곳 디테일WE ARE
TOGETHER!
ATO FRIENDS
ㅇㅇ
아토프렌즈
홧또~!
♡(
TO
FRIENDS
01.07. Thur
ㅁ 광명 촬영 10AM'
ㅂ 이미지 정치, 1차 전펌
ㅂ 스튜디오 추가 촬영
01.08.Fri
미 대표님 줌미팅
11:30AM 소회의실
ㅁ 주간보고 및 정치
→ 오후 2시 황됨장님
스토리 피드백 컨펌
01.09.sa
이야~
주말5cm
ThurPR
ALO
리워드 구성
TO
FRIENDS
아토프렌즈 맥시멀리즘 패키지
PRI
Raps
One
DSU
WE ARE
TOGETHER!
ATO FRIENDS
택1
+ 추가증정
LET'S GO
WITH ATO FRIENDS
CHRIENDS
2021
Happy New Year
AM ANIMOTION
10
30% 혜택 77,500원
54,000원
2021
ATO FRIENDS
만년다이어리 + 2021 다이어리(택1)
+ 2021 캘린더 + 드로잉노트 + USB(택1)
+ 에어팟 케이스,키링(택1) + 뱃지(택1)
+ 아토 파일 5개 + 아띠 파일 5개 + 메모패드
x5
A
FRIENDS
ATO FRIENDS
마우스패드 + 에코백 + 스프링노트
2021
택1
택1아토프렌즈 미니멀리즘 패키지
TO
FRIENDS
RENDS
PRO
Atti
RENDS
Aro
만년다이어리 + USB(택1)
+ 에어팟 케이스,키링(택1)
30% 혜택 31,500원
22,000원
Amory
택]
택1TO
FRIENDS
아토프렌즈 오피스 패키지
2014-0
WE ARE
TOGETHER!
ATO FRIENDS
x5
+ 추가증정
DSU
LET'S GO
WITH ATO FRIENDS
ATO
FRIENDS
2021
ORIENDS
2021
Harps Me Yoo
30% 혜택 55,000원
39,000원
AM ANIMOTION
and
ATO FRIENDS
마우스패드 + 스프링노트
FRIENDS
USB(택1) + 만년다이어리 +2021 다이어리(택1)
+ 2021 캘린더 + 드로잉 노트 + 메모패드
+ 아토 파일 5개 + 아띠 파일 5개
택1
2021
택102
아토프렌즈 스쿨 패키지
FRIENDS
WE ARE
TOGETHER!
ATO FRIENDS
만년다이어리 + 아토 파일 5개
+ 아띠 파일 5개 + 드로잉 노트
30% 혜택 21,500원
15,000원
x5아토프렌즈 커플 패키지
PREMON
OTO
FRIENDS
2021
Resor
+ 추가증정
ARENDS
30% 혜택 1,000원
50,000원
ATO FRIENDS
FRIENDS
TO
에코백
2021 다이어리(옐로우)
+ 2021 다이어리(그레이)
+ USB(택2) + 에어팟 케이스,키링(택2)
2021
TRENDS
Among
택2
택2아토프렌즈 뱃지 세트
(Coffee.
3개중 랜덤 1개 발송
2개중 랜덤 1개 발송
아토 뱃지(랜덤 1개) + 아띠 뱃지(랜덤 1개)
+아로 뱃지 + 아몽 뱃지
30% 혜택 17,000원
12,000원SION OF DIGITAL CONTENTS
D.
T=
어렵다 어려와..
T꼭 짱이 돼야지.
꼭 짱 귀여운
캐릭터를 만들어서
디지털 미디어 시대고 뭐고
다 해 먹어야지.ATO FRIENDS
CEOCE
TO
FRIENDS
no
D
제품 참~ 좋은데~
쓰다보면 정~말 좋은데~
어떻게 표현할 방법이 없네ANIMOTION
liv
중소기업학교기업
상생 프로젝트의 시작
TO
FRIENDS안녕
나는 외계 곰돌이 아토야!
84
88
나는 절대 화를 내지 않아
친구들이 말랑말랑한 내 뱃살을
마시멜로라고 놀려도 말이야!
앗, 달리기 같은 격한 운동은 싫어하니까
강요하지 말아줘!
coffee
꺄항~안뇽
나는 아띠!
Jes
여름에도 녹지 않는 무적 눈사람이야!
어떻게 안 녹을 수 있냐구?
그건 우리 첫 만남 영상으로 봐줘
이짜나 나는 아토가 진챠 조와!
그래서 아토처럼 사탕을 머리에 달아쩌
나 오때?하이
나는 아몽, 원숭이임!
나무 위에서 별 보는게 얼마나 낭만적인지 아니?
거기에 몽시경 노래까지 더하면 크으~
이래 봬도 나 마음은 따뜻한 원숭이야
무서워하지 말라구!
BRA
.안녕
스노우보드를 좋아하는 토끼 아로야.
신나게 보드 타고 먹는 사이다의 맛이란!
난 토끼지만 당근은 사절이니까
혹시라도 당근 선물을 준비하고 있다면
넣어둬 넣어둬~
EX
Just
Baked!Aro
바
CC
뚜뚜~뚜~ 뚜뚜
뚜는 지구 말을 잘 못해서 내가 전해 줄게!
엇, 거기 누구 문어같다고 생각했지?! 큭큭
뚜는 우주먼지가 모여 만들어진 친구야.
뚜는 사탕먹는 걸 좋아해.
아, 뚜가 잘 부탁한대 ㅎㅎ
Among
Ddu
Ato
Atti"
4,106391,"- DOGURI -
막내클럽
막내들이 행복한 세상을 위해!자, 이제 막내클럽에 대한
모든 의문이 풀렸겠지?
그럼 지금부터 우리 막내클럽의
강력한 비밀 무기
막내클럽 웰컴키트
소개를 시작하지!MAKNAE CLUB
WELCOME KIT
TOP SECRET
I'M
MAKFIA
LH
TOP SECRET
MAKFIA NOTE
TOP SECRET
01. 막피아 ID카드
TOP SECRET
03. 사원즘 프레임
NHANG
MAKNAE CLUB
SE THE
05. 막피아 노트
MAKNAE CLUB
왜 우리 막내
기를 죽이고 그래용)
CAUTION
F
C
A
24
|
NEUB | THANH SAU CHE
KIT OVERVIEW
Focus
SEL
A
400AASAANVAS BUSHTUMAT
AREA
02. 솔루션 스티커
C
04. 전화 컨닝 패드
SHIRR
06. 막피아 볼펜+펜꽂이
**N! 99H 20,⁰준비된 무기들만 봐도
마음이 든든해지는군.
자, 이제 자세한 무기 사용법을
하나씩 확인해보도록 하지!WEAPON 01
막피아 ID카드WE ARE THE MAKFIA
E CLUB
막내클럽 일원이 된 걸 환영한다.
QUE
ㅐ클럽은 막피아들이 회사 생활의 고난과 역경을
THE MAKE
E ARE
작고 소중한 막내여.
겨내고 항상 행복해지기 위해 탄생했다.
막내클럽
•
막내클럽이 당신과 함께할 것이다.
막피아로서 활약을 기대하겠다.
도구리
no Dogurp
WELCOME TO
MAKNAE CLUB
WE ARE THE MAKFIA
막피아
막내들이 행복한 세상을 위해!
•MAKFIA.
WE ARE THE MAKFIAOUI
WR -
ITE
METRO-NET SN78-3-95905-485-0
Issue 7, 2020
OCE
00
WELCOME TO
MAKNAE CLUB
WE ARE THE MAKFIA
EUCD
막피아
막내들이 행복한 세상을 위해!
•MAKFIA.
ru
3
6
||
+
CEWEAPON 02
单位 2WE ARE THE MAKFIA
167
AUBE
DOGURI
막내들이 행복한
세상을 위해!
QE
271012130?
• 보스의 한마디 ·
MAKNAE CLUB
0
Q 2017 S
• 보스의 한마디 ·
MAKNAE CLUB
10
@ 01223 SEN?
• 보스의 한 마디 ·
MAKNAE CLUB
QSNT STINE?
• 보스의 한마디 ·
MAKNAE CLUB
O@ 01292 95 10?
• 보스의 한마디·
MAKNAE CLUB
QEAN 227101213@?
• 보스의 한마디 ·
MAKNAE CLUB
O
10
QSAT STASE EM?
• 보스의 한 마디.
MAKNAE CLUB
7 ?
• 보스의 한마디.
MAKNAE CLUB
막내클럽
DOGURI
LIO 2
세상을 위해!
WE ARE
RE
E THE MAK
MC
^
1
+/-
4
control
MU
한/영
7 8
4
5
AC
1
0
ON
→
*1
D
W
I
option
esc
A
2
00
N
1
!
ЫЫ Ы
Q
fn
ㅋ
comman작고 소중한 막피아들이여.
나는 막내클럽의 창립자, 보스 도구리다.
내가 막내클럽 웰컴키트를 가지고
와디즈를 찾아온 이유가 궁금하겠군.2
WEAPON 03
사원증 프레임왜 우리 막내
기를 죽이고 그래용!
도구리
DOGURI
AAAANGARTIN KIPPENBERGER
Record Culture Magazine
METRO-NET
Prelude Studie
Food
왜 우리 막내 1
기를 죽이고 그래! 8
도구리
DOGURI
MARNAR CLUE
******
******
*****WEAPON 04
전화 컨닝 패드M
m
w
따르릉
Emm
PORS
**
CAUTION
※아래 막피아를 따라하지 않도록 주의하세요*
'여보세요?""
'누구세요?""
。
1
003
(모른척)
전화기가 계속 울리도록 방치한다.
(달칵)
엇 잠시ㅁ...
8
9
WXYZ
#
t
파피아 전화 런닝 패드
MNO
첫 인사
내 업무
(후비적)
다른 사람
업무
'여보세요?', '누구세요?'라고 응답한다.
내부 전화
외부 전화
메모내용
마무리
야호
전화 끝!
대화가 마무리되는 것 같으면
바로 끊는다.
오
답변 가능
검토 필요
전화
돌려주기
전화 수신 시
""네, OO팀도구리입니다.""
""네. ㅇㅇ(회사명) 00팀 도구리입니다.""
첫 인사
성심성의껏 대답한다. (모르겄는디..?)
""네. 그 부분은 확인해서 다시 연락 드리겠습니다.""
담당자
부재 시
""죄송하지만, 담당자분께서 잠깐 자리 비우셨는데
제가 메모 남겨드릴까요?""
전화 받은 시간/발신인(이름, 소속)/연락처/문의 내용/기한
""감사합니다. 좋은 하루 보내세요.""
(상대방 전화 종료 확인 후, 수화기 내려놓기)
*해당 업무 담당자분 자리로 연결해 드리겠습니다.
끊어지면 뒷자리 0000로 전화주시면 됩니다.
잠시만 기다려주세요.""
수신인 확인
내부 전화
외부 전화
내부 전화
외부 전화
용건밝히기
통화 불가
전화 발신 시
""안녕하세요. 00팀 도구리입니다.""
""안녕하세요. OO(회사명) 00 도구리입니다.""
마무리
""스스팀△△△(+직함)님 맞으시죠. 잠시 통화 가능하세요?""
""스스(회사명) △스팀△△△(+직함)님 맞으시죠.
잠시 통화 가능하세요?""
""다름이 아니라,
이전에 말씀주신 00건 확인차 연락 드렸습니다.""
""아 그러시면 실례지만, 언제쯤 통화 가능할까요?
네, 알겠습니다. 00시에 다시 연락드리겠습니다.""
""감사합니다. 좋은 하루 보내세요.""
(상대방전화 종료 확인 후, 수화기 내려놓기)CISCO
ao
✿
""
1.9
4
OHA
2
7
PORS
5
JKL
*
8
TUV
3
6
MNO
101
9
WXYZ
#
K
CAUTION
※아래 막피아를 따라하지 않도록 주의하세요*
따르릉
내
(모른척)
전화기가 계속 울리도록 방치한다.
""여보세요?""
누구세요한
한국
막피아 전화 런닝 패드/
전화 수신 시
400원 도구리입니다.""
*HOO(회사명) 00 도구리입니다.""
(달락)
<엇 잠시다..
EBRA
첫인사
'여보세요?', '누구세요?'라고 응답한다.
(후비적)
다른 사람
업무
야호
전화 끝!
대화가 마무리되는 것 같으면
바로 끊는다.
마무리
내부 전화
외부 전화
답변 가능
검토 필요
전화
돌려주기
첫인사
수신인 확인
성심성의껏 대답한다. (모르겠는디.?)
담당자
""죄송하지만, 담당자분께서 잠깐 자리비우셨는데
제가 메모 남겨드릴까요?""
AL
전화 받은 시간/발신인(이름, 소속)/연락처/문의 내용/1기한
""감사합니다. 좋은하루보내세요""
(상대방 전화 종료 확인 후, 수화기 내려놓기)
용건밝히기
통화 불가
마무리
그 부분은 확인해서 다시 연락드리겠습니다.""
해당 업무 담당자분 자리로 연결해 드리겠습니다.
끊어지면 뒷자리 0000로 전화주시면 됩니다.""
잠시만
지만 기다려주세요.""
내부 전화
외부 전화
내분 전환
외부 전화
전화 발신 시
""안녕하세요. 00 도구리입니다.""
안녕하세요. ㅇㅇ(회사) 00 도구리입니다.""
""스스틸 스스스(+직합)님 맞으시죠. 잠시 통화 가능하세요?""
""스스(회사명 스스팀 스스스(+직함)님 맞으시죠.
잠시 동화 가능하세요?""
""다름이 아니라,
이전에 말씀주신 00건 확인차 연락드렸습니다.""
""아 그러시면 실례지만 언제쯤 통화 가능할까요?
네, 알겠습니다. 00시에 다시 연락드리겠습니다.""
감사합니다. 좋은 하루 보내세요.""
(상대방 전화 종료 확인 후, 수화기 내려놓기)WEAPON 05
막피아 노트※ 일급비밀!!
Co
DOGURI
MAKFIA NOTE
일급비밀!!
COP
(MARFIA
TOP SECRET
PENYETO PENNLJSIGN
MA
8
GT
3
6
9
+
%6
M+
x
T
OFF
090
ww
what f
Dan
Pr
lorem. Sed interdum eum vt ac tortor nec metus
110
DOGURI
MAKFIA NOTE
일급비밀!! ⑧ 일급비밀!!
TOP SECRET
011
MAKFIA
huy
SENZOATS & SEEN OPEN
w
한/염
control
esc
P
ЫЫ Ы
Q
A
option
O보스 도구리의
웰컴키트 제작기
막내클럽을 오픈하고 약 반년이 흐른 어느 날,
난 오랜만에 막피아들과 소통하기 위해
비밀 우편함을 설치했지.
MAKINME
와르르!!
| '||||
""보스, 살려줘요!
새로운 막피아 무기가필요해요!""
트
그 속에서 쏟아지는 편지들은 모두
하나같이 이렇게 말하고 있더군.
무기줘
ㅠㅠ
UU
Helps
To. BOSS
보스 살려줘요ㅠㅠㅠ
새로운 무기가 필요해요
UUU
MAKFIA LAB
ㅇ
전부 지원 요청 편지잖아...?!
회사생활로 고통받는 막피아들에게
특별한 비밀 무기가 필요하다는
사실을 깨달은 나는
- 나다.
당장 강력한 무기 키트를 개발하도록!
살려주
그 즉시 무기 연구소에
막내클럽 웰컴키트 개발을 요청했지.
ㄱ
Hele
밤낮없이
스
그렇게 강력하고 실용적인
만들기 위해
를
몰두한 결과!
발에
막피아만의 무기
고
연
ū
TOP SECRET
구
개
TOP SECRET
MAKNAE CL
FALua
막피아들의 필수 무기를 담은
★막내클럽 웰컴키트★
가 탄생한 것이다!!WEAPON 06
막피아볼펜+펜꽂이손들어! 업무면 쏜다 ㅇㅇ
ㅇARTIN KIPPENBERGER
B
6
9
WEVE
#
KIPPENBE
METRO-NET
*CH!
sert Cuthure Mngati
Record
OUT
WR-
ITE
QUI
업무면 쏜다 9
CH!
2
업무면 쏜다 ㅇㅇ
O
P
WY
A
W
LT
13
**
5
DO
44잠깐!
여기서 끝이 아니지.
우리 막피아들을 빛내 줄
펀딩 한정 아이템들도 확인해 보도록!E
MAKNAE
MOSO
MARIAE
WE ARE THE MAKFIA
MAKNAE CLUB
AKNAE CO
OGUR
E CLUB
URMARI
MAKFIA
SURI
MAKNAE
CLUB
MAKFIA
KNAE
WE ARE
MAKFIA
MAKNO
MAKNA
AKNAE CLUB
MAKNAE CL
WE ARE THE MA
DOGURIMAKNAE CLUB
MAKNAE
MASHE
MANTAE
WE ARE THE MAKFIA
ΜΑΚΝΑΕ CLUB11111
2222
HOTEL
1111
(AE
MAKFIA
MAKNAE CLUB
MAKNAE CLUB
WE ARE THE MAKFIA
GURI
WE ARE
THE
MAKFIA
GURI
MAKNAE CO
ARE THE MAKFIA
DOGURI
DOGURI
DOGURI
MAKNAE CLUB
WE ARE THE MAKPIA
ARE
AKFIA.
WHE
DOGURI MAKFIA
MAKF
MAKNAE
CLUB
MAK FIA
MAKNA
MAKNAE
MAKNO
DOG
DOG
MAKNAE CLI
WE ARE THE MA
| 도구리
DOGUR
나
기를 죽이고 그래!!
왜 우리 막내2
3
4
65
SIN
Додитой
0
B
с
О오... 멋지네요ㅎ
그런데 막내클럽? 그게 뭐죠...?막내클럽 웰컴키트의
스페셜 포인트
알려주지!POINT 1.
나만의 막피아 닉네임이 새겨진 ID 카드
WELCOME TO
MAKNAE CLUB
WE ARE THE MAKFIA
막피아
막내들이 행복한 세상을 위해!
•MAKFIA.
막피아POINT 2.
전화 대본 마우스패드의 귀환
투표
01
전화 대본 마우스패드
전화 대본 마우스 E
ADNE
77
904
wine
o
CORONE
SEMA
COM
AGE
what
전화대본 마우스패드
YOU
04
www
Sa
ww
wwww
20년만의 염소 탈출
63%
CAUTION
+50406# 156 (2420 1401 1400
따르륨
(오른)
전화기가 계속 풀리도록 방치한다.
'여보세요한
'누구세요한
(후비적)
(달라)
시..
'여보세요?', '누구세요?""라고 답한다.
막피아 전화 런닝 패드/
전화 수신 시
야호
대화가 마무리되는 것 같으면
바로 끊는다.
보인사
내 업무
다른 사람
■모 내용
마무리
및 민사
물건 밝혀기
마무리
7
내부 진화
담 가능
검토 필요
KOR
""400원 도구리입니다.""
""네, DD(회원) 00 도구입니다.""
외부 전화
실심설명포대답한다. (모르겠는디..?)
